Postdate,Valdate,Details,Amount,UD1
01-Jan-24,01-Jan-24,REF  000016240101152357000091139620   _0000341052,"400,000.00",000016240101152357000091139620
01-Jan-24,01-Jan-24,REF  100004240101142614110156697437   _4000248688,"6,150.00",100004240101142614110156697437
01-Jan-24,01-Jan-24,REF  090110240101152621840618477698   _4000248687,"2,178.00",090110240101152621840618477698
01-Jan-24,01-Jan-24,REF  100004240101143400110157236025   _0202399194,"4,000.00",100004240101143400110157236025
01-Jan-24,01-Jan-24,REF  100004240101143743110157355323   _8840208084,"2,000.00",100004240101143743110157355323
01-Jan-24,01-Jan-24,REF  100004240101143936110156781656   _8145544522,"61,500.00",100004240101143936110156781656
01-Jan-24,01-Jan-24,REF  090110240101154541375329842167   _4000248690,"2,178.00",090110240101154541375329842167
01-Jan-24,01-Jan-24,REF  100004240101144613110156823231   _4000248689,"3,600.00",100004240101144613110156823231
01-Jan-24,01-Jan-24,REF  000014240101155345279375278064   _1002551913,"64,500.00",000014240101155345279375278064
01-Jan-24,01-Jan-24,REF  000013240101155937000061954209   _4000248691,"2,178.00",000013240101155937000061954209
01-Jan-24,01-Jan-24,REF  000014240101160132227642199816   _1002551780,"64,500.00",000014240101160132227642199816
01-Jan-24,01-Jan-24,REF  100004240101150339110157516851   _8440208946,"12,050.00",100004240101150339110157516851
01-Jan-24,01-Jan-24,REF  000004240101160410687949235257   _1002553015,"30,000.00",000004240101160410687949235257
01-Jan-24,01-Jan-24,REF  100004240101150436110157181960   _0000224015,"58,330.00",100004240101150436110157181960
01-Jan-24,01-Jan-24,REF  100033240101151125000002018777   _4000248694,"4,560.00",100033240101151125000002018777
01-Jan-24,01-Jan-24,REF  000013240101161627000061982975   _0605000623,"100,000.00",000013240101161627000061982975
01-Jan-24,01-Jan-24,REF  000013240101161619000061983348   _0601100051,"93,000.00",000013240101161619000061983348
01-Jan-24,01-Jan-24,REF  100033240101151852000002042330   _8440196782,530.00,100033240101151852000002042330
01-Jan-24,01-Jan-24,REF  000013240101162557000061999493   _4000248696,"2,178.00",000013240101162557000061999493
01-Jan-24,01-Jan-24,REF  000013240101162834000062004074   _4000248697,"2,178.00",000013240101162834000062004074
01-Jan-24,01-Jan-24,REF  100004240101154233110158189126   _8069298440,"5,000.00",100004240101154233110158189126
01-Jan-24,01-Jan-24,REF  090529240101154500709133985259   _4000248698,"4,120.00",090529240101154500709133985259
01-Jan-24,01-Jan-24,REF  100034240101164529863075792970   _0000262661,"30,000.00",100034240101164529863075792970
01-Jan-24,01-Jan-24,REF  000007240101164515913769172986   _4000248699,"6,030.00",000007240101164515913769172986
01-Jan-24,01-Jan-24,REF  100002240101164754000818582179   _4000248700,"2,178.00",100002240101164754000818582179
01-Jan-24,01-Jan-24,REF  100033240101154829000002137431   _8441357636,"11,000.00",100033240101154829000002137431
01-Jan-24,01-Jan-24,REF  090267240101164910014024635473   _4000248701,"1,650.00",090267240101164910014024635473
01-Jan-24,01-Jan-24,REF  090267240101165013396050704550   _8440208809,"1,100.00",090267240101165013396050704550
01-Jan-24,01-Jan-24,REF  090267240101165028659050704550   _8440208809,"9,000.00",090267240101165028659050704550
01-Jan-24,01-Jan-24,REF  100033240101155115000002146515   _4000248702,"3,990.00",100033240101155115000002146515
01-Jan-24,01-Jan-24,REF  100033240101155338000002154172   _0000262661,"200,000.00",100033240101155338000002154172
01-Jan-24,01-Jan-24,REF  000013240101165404000062048941   _1002553026,"30,000.00",000013240101165404000062048941
01-Jan-24,01-Jan-24,REF  090529240101155538861706066052   _4000248703,800.00,090529240101155538861706066052
01-Jan-24,01-Jan-24,REF  100004240101160000110158941274   _9156244409,"2,000.00",100004240101160000110158941274
01-Jan-24,01-Jan-24,REF  000013240101170619000062070357   _1002553027,"30,000.00",000013240101170619000062070357
01-Jan-24,01-Jan-24,REF  000013240101171129000062079860   _4000248704,"2,178.00",000013240101171129000062079860
01-Jan-24,01-Jan-24,REF  000007240101171707042535123711   _8440190607,"143,700.00",000007240101171707042535123711
01-Jan-24,01-Jan-24,REF  000007240101171850281900592546   _8440190607,"8,555.00",000007240101171850281900592546
01-Jan-24,01-Jan-24,REF  100004240101162034110159446949   _4000248705,"2,600.00",100004240101162034110159446949
01-Jan-24,01-Jan-24,REF  000016240101172338000091597592   _0000224015,"6,150.00",000016240101172338000091597592
01-Jan-24,01-Jan-24,REF  000014240101172756273682451193   _8840209089,"20,000.00",000014240101172756273682451193
01-Jan-24,01-Jan-24,REF  000004240101173104951319912066   _8440209134,"19,890.00",000004240101173104951319912066
01-Jan-24,01-Jan-24,REF  000013240101173157000062116436   _4000248708,"2,178.00",000013240101173157000062116436
01-Jan-24,01-Jan-24,REF  000015240101173228749741023151   _8840206455,"5,000.00",000015240101173228749741023151
01-Jan-24,01-Jan-24,REF  100004240101163357110159943795   _1002550455,"30,000.00",100004240101163357110159943795
01-Jan-24,01-Jan-24,REF  100033240101164012000002306222   _4000248709,"3,780.00",100033240101164012000002306222
01-Jan-24,01-Jan-24,REF  000014240101174225211913696659   _8440209145,"26,000.00",000014240101174225211913696659
01-Jan-24,01-Jan-24,REF  100004240101164645110160284674   _4000248710,"2,178.00",100004240101164645110160284674
01-Jan-24,01-Jan-24,REF  100033240101165216000002346184   _8840208985,"5,000.00",100033240101165216000002346184
01-Jan-24,01-Jan-24,REF  000014240101175333237941629634   _4000248711,"2,178.00",000014240101175333237941629634
01-Jan-24,01-Jan-24,REF  100004240101170534110160996886   _4000248712,"3,350.00",100004240101170534110160996886
01-Jan-24,01-Jan-24,REF  100004240101171205110161456389   _4000179544,"1,150.00",100004240101171205110161456389
01-Jan-24,01-Jan-24,REF  100004240101171249110161047216   _8840208985,"1,850.00",100004240101171249110161047216
01-Jan-24,01-Jan-24,REF  100004240101171841110160746539   _4000248713,"30,000.00",100004240101171841110160746539
01-Jan-24,01-Jan-24,REF  100004240101171912110161090991   _4000248714,410.00,100004240101171912110161090991
01-Jan-24,01-Jan-24,REF  100004240101172213110160770781   _0000210008,"492,000.00",100004240101172213110160770781
01-Jan-24,01-Jan-24,REF  100004240101172214110161526617   _7025904346,"1,000.00",100004240101172214110161526617
01-Jan-24,01-Jan-24,REF  000004240101182304938106002397   _4000248715,"3,100.00",000004240101182304938106002397
01-Jan-24,01-Jan-24,REF  100004240101172352110161122616   _4000217598,"4,500.00",100004240101172352110161122616
01-Jan-24,01-Jan-24,REF  000004240101172417523713606160   _0000262869,"1,500.00",000004240101172417523713606160
01-Jan-24,01-Jan-24,REF  100004240101172536110161134529   _0202186431,500.00,100004240101172536110161134529
01-Jan-24,01-Jan-24,REF  000004240101172741642378855489   _0000262896,"1,500.00",000004240101172741642378855489
01-Jan-24,01-Jan-24,REF  000014240101183638229977059701   _4000248718,800.00,000014240101183638229977059701
01-Jan-24,01-Jan-24,REF  100004240101174339110161689942   _8441732622,500.00,100004240101174339110161689942
01-Jan-24,01-Jan-24,REF  000004240101184445601429370470   _8440209134,"1,810.00",000004240101184445601429370470
01-Jan-24,01-Jan-24,REF  100004240101174458110162326156   _4000217598,"3,000.00",100004240101174458110162326156
01-Jan-24,01-Jan-24,REF  100004240101175412110161393088   _4000248719,"1,130.00",100004240101175412110161393088
01-Jan-24,01-Jan-24,REF  090267240101185412838006476692   _0000224015,"4,850.00",090267240101185412838006476692
01-Jan-24,01-Jan-24,REF  100004240101175507110162400876   _1000907394,"2,000.00",100004240101175507110162400876
01-Jan-24,01-Jan-24,REF  100004240101175733110162419091   _0000474106,"650,300.00",100004240101175733110162419091
01-Jan-24,01-Jan-24,REF  100004240101180237110162224072   _8441259833,665.00,100004240101180237110162224072
01-Jan-24,01-Jan-24,REF  000018240101190118000684548133   _4000248720,"3,300.00",000018240101190118000684548133
01-Jan-24,01-Jan-24,REF  100033240101180522000002598896   _4000179544,"1,000.00",100033240101180522000002598896
01-Jan-24,01-Jan-24,REF  000001240101190610000291514546   _0000474106,"94,000.00",000001240101190610000291514546
