postdate,Valdate,Details, Amount , UD1 
02-Nov-24,02-Nov-24,REF 284402227415 & 0000285473-251163,7600.00,284402227415
02-Nov-24,02-Nov-24,REF 431194812547 & 0000427164-251164,15100.00,431194812547
02-Nov-24,02-Nov-24,REF 260191001824 & 0000427164-251166,1545.00,260191001824
02-Nov-24,02-Nov-24,REF 889581073607 & 0000427164-251167,5990.00,889581073607
02-Nov-24,02-Nov-24,REF 611101240598 & 0000285473-251168,530.00,611101240598
02-Nov-24,02-Nov-24,REF 308607150931 & 0000427164-251169,15100.00,308607150931
02-Nov-24,02-Nov-24,REF 956427390838 & 0000285473-251171,15101.00,956427390838
02-Nov-24,02-Nov-24,REF 820457358798 & 0000285473-251172,45200.00,820457358798
02-Nov-24,02-Nov-24,REF 420431199484 & 0000285473-251173,50200.00,420431199484
02-Nov-24,02-Nov-24,REF 694617620388 & 0000285473-251174,35200.00,694617620388
02-Nov-24,02-Nov-24,REF 354811603813 & 0000427164-251175,29250.00,354811603813
02-Nov-24,02-Nov-24,REF 047786991158 & 0000427153-251176,40100.00,047786991158
02-Nov-24,02-Nov-24,REF 995232151830 & 0000427164-251177,10100.00,995232151830
02-Nov-24,02-Nov-24,REF 091790954724 & 0000224004-235975,34100.00,091790954724
02-Nov-24,02-Nov-24,REF 201065292098 & 0000285473-251178,10100.00,201065292098
02-Nov-24,02-Nov-24,REF 228808155572 & 0000285473-251179,530.00,228808155572
02-Nov-24,02-Nov-24,REF 549022451795 & 0000285473-251180,6100.00,549022451795
02-Nov-24,02-Nov-24,REF 811403879301 & 0000427153-251181,1800.00,811403879301
02-Nov-24,02-Nov-24,REF 376772772371 & 0000427164-251182,16000.00,376772772371
02-Nov-24,02-Nov-24,REF 550480473075 & 0000285473-251183,9400.00,550480473075
02-Nov-24,02-Nov-24,REF 544069178492 & 0000223006-251184,8100.00,544069178492
02-Nov-24,02-Nov-24,REF 973078253817 & 0000223006-251185,9100.00,973078253817
02-Nov-24,02-Nov-24,REF 691742327547 & 0000285473-251186,13400.00,691742327547
02-Nov-24,02-Nov-24,REF 741181496047 & 0000223006-251187,36100.00,741181496047
02-Nov-24,02-Nov-24,REF 125767481840 & 0000427164-251188,3610.00,125767481840
02-Nov-24,02-Nov-24,REF 982157447647 & 0000522934-251189,8200.00,982157447647
02-Nov-24,02-Nov-24,REF 931311125592 & 0000285473-251190,1050.00,931311125592
02-Nov-24,02-Nov-24,REF 453751983675 & 0000285471-251191,872.00,453751983675
02-Nov-24,02-Nov-24,REF 182373914668 & 0000104344-251192,800000.00,182373914668
02-Nov-24,02-Nov-24,REF 887834562195 & 0000285473-251193,12600.00,887834562195
02-Nov-24,02-Nov-24,REF 841583507924 & 0000223006-251194,22900.00,841583507924
02-Nov-24,02-Nov-24,REF 691488767894 & 0000427153-251195,10100.00,691488767894
02-Nov-24,02-Nov-24,REF 944814704711 & 0000285471-251196,1050.00,944814704711
02-Nov-24,02-Nov-24,REF 515982855677 & 0000427153-251197,15100.00,515982855677
02-Nov-24,02-Nov-24,REF 630375271661 & 0000427164-251198,3500.00,630375271661
02-Nov-24,02-Nov-24,REF 021845034194 & 0000427164-251199,5600.00,021845034194
02-Nov-24,02-Nov-24,REF 998044958653 & 0000427164-251200,5100.00,998044958653
02-Nov-24,02-Nov-24,REF 818364647892 & 0000285473-251201,20100.00,818364647892
02-Nov-24,02-Nov-24,REF 747221910270 & 0000427164-251202,8600.00,747221910270
02-Nov-24,02-Nov-24,REF 816993804153 & 0000223006-251203,4600.00,816993804153
02-Nov-24,02-Nov-24,REF 971645022980 & 0000427164-251204,15100.00,971645022980
02-Nov-24,02-Nov-24,REF 579282675795 & 0000285471-251205,1906.00,579282675795
02-Nov-24,02-Nov-24,REF 360246910982 & 0000224004-235977,11360.00,360246910982
02-Nov-24,02-Nov-24,REF 903737859756 & 0000224004-235978,2200.00,903737859756
02-Nov-24,02-Nov-24,REF 828545972278 & 0000285473-251206,30200.00,828545972278
02-Nov-24,02-Nov-24,REF 347698119326 & 0000427164-251207,8600.00,347698119326
02-Nov-24,02-Nov-24,REF 254979756687 & 0000427164-251208,5100.00,254979756687
02-Nov-24,02-Nov-24,REF 287787582999 & 0000285473-251209,31000.00,287787582999
02-Nov-24,02-Nov-24,REF 628559359703 & 0000285473-251211,3600.00,628559359703
02-Nov-24,02-Nov-24,REF 916966357445 & 0000285473-251212,8900.00,916966357445
02-Nov-24,02-Nov-24,REF 577697150937 & 0000223006-251213,14500.00,577697150937
02-Nov-24,02-Nov-24,REF 616629467151 & 0000427164-251216,5100.00,616629467151
02-Nov-24,02-Nov-24,REF 454791019459 & 0000285473-251217,5100.00,454791019459
02-Nov-24,02-Nov-24,REF 210489205867 & 0000285473-251218,8900.00,210489205867
02-Nov-24,02-Nov-24,REF 108097175488 & 0000427164-251219,2800.00,108097175488
02-Nov-24,02-Nov-24,REF 169905290406 & 0000427164-251220,2700.00,169905290406
02-Nov-24,02-Nov-24,REF 403922945749 & 0000427164-251221,6750.00,403922945749
02-Nov-24,02-Nov-24,REF 043927219430 & 0000522934-251222,30600.00,043927219430
02-Nov-24,02-Nov-24,REF 745395601427 & 0000285471-251223,2416.00,745395601427
02-Nov-24,02-Nov-24,REF 149870595441 & 0000427164-251224,15100.00,149870595441
02-Nov-24,02-Nov-24,REF 450751296814 & 0000427153-251225,1870.00,450751296814
02-Nov-24,02-Nov-24,REF 839893224784 & 0000427164-251226,5800.00,839893224784
02-Nov-24,02-Nov-24,REF 996397344922 & 0000285473-251227,28100.00,996397344922
02-Nov-24,02-Nov-24,REF 085449625554 & 0000104428-251228,1800.00,085449625554
02-Nov-24,02-Nov-24,REF 869869676320 & 0000224004-251229,8350.00,869869676320
02-Nov-24,02-Nov-24,REF 300253269337 & 0000224004-251230,610.00,300253269337
02-Nov-24,02-Nov-24,REF 228765272038 & 0000522934-251232,20000.00,228765272038
02-Nov-24,02-Nov-24,REF 185371033633 & 0000224004-251233,8050.00,185371033633
02-Nov-24,02-Nov-24,REF 312349151422 & 0000224004-235979,21100.00,312349151422
02-Nov-24,02-Nov-24,REF 353903677137 & 0000224004-235980,7170.00,353903677137
02-Nov-24,02-Nov-24,REF 498603124108 & 0000224004-235981,6100.00,498603124108
02-Nov-24,02-Nov-24,REF 063777580223 & 0000224004-235982,1300.00,063777580223
02-Nov-24,02-Nov-24,REF 017890241931 & 0000427164-251235,207715.00,017890241931
02-Nov-24,02-Nov-24,REF 793495305720 & 0000285473-251237,25000.00,793495305720
02-Nov-24,02-Nov-24,REF 764277983162 & 0000285473-251238,5100.00,764277983162
02-Nov-24,02-Nov-24,REF 325634686209 & 0000224004-235983,4450.00,325634686209
02-Nov-24,02-Nov-24,REF 568978623776 & 0000427164-251239,23550.00,568978623776
02-Nov-24,02-Nov-24,REF 894971484584 & 0000285473-251240,35200.00,894971484584
02-Nov-24,02-Nov-24,REF 496890226630 & 0000285473-251241,50200.00,496890226630
02-Nov-24,02-Nov-24,REF 479219723977 & 0000224004-235984,103400.00,479219723977
02-Nov-24,02-Nov-24,REF 831341675299 & 0000285473-251244,35200.00,831341675299
02-Nov-24,02-Nov-24,REF 627931418658 & 0000285473-251245,50200.00,627931418658
02-Nov-24,02-Nov-24,REF 589149363038 & 0000285473-251246,45200.00,589149363038
